1B,Counter,X Accel,Y Accel,Z Accel,X Gyro,Y Gyro,Z Gyro
27,40,25602,46335,2115,40448,34559,45567
27,41,22530,55551,1092,38912,47359,43007
27,42,21506,47359,55363,36608,47871,43263
27,43,14338,1024,63554,38400,45311,42495
27,44,2050,53503,30787,37632,37119,44031
27,45,34818,45311,54339,46080,40703,43519
27,46,17410,59647,58435,43520,39679,46847
27,47,20482,41215,58435,38656,47359,47871
27,48,54273,4096,37955,35072,45567,47615
27,49,18434,52479,53315,36608,44031,43007
27,50,16386,11264,47171,36864,44543,49407
27,51,17410,54527,64579,37888,42495,47359
27,52,22530,2048,63555,37888,42495,50687
27,53,62465,37119,58435,33024,41983,47615
27,54,12290,44287,15428,45056,44031,44287
27,55,40962,41215,30787,40704,44799,41727
27,56,22530,57599,42051,36096,43519,42751
27,57,10242,2048,44099,39168,39679,49919
27,58,13314,7168,42051,42752,48383,39679
27,59,13314,5120,40003,35584,45055,41471
27,60,44034,1024,64579,32256,34815,45567
27,61,28674,64767,21572,38400,41471,43007
27,62,22530,55551,42051,32000,45311,43775
27,63,10242,0,30787,36096,41983,46591
27,64,19458,5120,23619,34560,42751,49919
27,65,18434,58623,63555,38400,39679,45055
27,66,23554,52479,68,41728,41983,44287
27,67,19458,37119,33859,38144,38911,48127
27,68,5122,51455,64579,35072,40959,46847
27,69,27650,55551,3140,35840,38143,46079
27,70,31746,64767,49219,39424,46079,46591
27,71,25602,55551,35907,32256,40447,48639
27,72,26626,7168,50243,37632,36863,41727
27,73,5122,0,4164,32512,37375,46847
27,74,7170,60671,15427,44032,36863,52223
27,75,26626,57599,31811,41728,30719,43263
27,76,58369,46335,63555,34816,47871,43775
27,77,57345,59647,58435,36096,30975,49151
27,78,55297,47359,52291,30976,61183,45567
27,79,29697,55551,11332,26368,47874,52223
27,80,58623,27903,54339,11520,42248,44543
27,81,64765,23807,54341,28417,30193,22527
27,82,61442,57598,37957,36351,31996,21503
27,83,3075,36864,21574,6400,10482,63484
27,84,2055,20480,5191,29696,44003,49920
27,85,20495,53248,22594,28928,48851,9473
27,86,16409,11518,12352,1537,13776,19457
27,87,15391,1277,62524,60670,724,44286
27,88,49192,31998,16438,6144,58069,21759
27,89,30767,37119,15406,49920,39638,65023
27,90,35893,25854,4131,57853,18647,55805
27,91,35896,33795,57374,21760,47580,45311
27,92,45116,1279,40983,14080,225,50943
27,93,41022,42238,45074,13824,47840,33791
27,94,43071,60670,19467,30976,12260,30463
27,95,51264,41214,32772,9984,11497,47103
27,96,17473,45310,28927,20736,39915,39167
27,97,36928,1278,8446,7425,6643,36607
27,98,24640,22783,40182,34560,46075,44287
27,99,38977,16638,52471,19968,28686,61183
27,100,24641,42238,5120,21761,21532,44287
27,101,26687,4351,35844,25857,45356,57343
27,102,42041,39167,45075,13319,37442,50177
